action_verb_count,bullet_count,category_alcohol,category_checks,category_diet,category_exercise,category_follow-up,category_sleep,category_smoking,category_stress,distillation_id,explanation_connector_count,feature_Activity,feature_Alcohol,feature_BMI,feature_Blood Glucose,feature_Blood Pressure,feature_Cholesterol,feature_Diet,feature_Mental Health,feature_Predicted Body Age,feature_Sleep,feature_Smoking,feature_Stress,feature_evidence_count,forbidden_term_count,key_signal_coverage,medical_disclaimer_present,numeric_evidence_count,person_index,quality_score,recommendation_category_count,required_heading_count,required_heading_coverage,response_source,word_count
15,25,1,1,1,1,1,1,1,1,38,3,1,1,1,1,1,1,1,1,1,1,1,1,12,0,1.0,0,21,38,91.0,8,5,1.0,Qwen teacher distillation,358
6,14,1,1,1,1,1,1,1,1,38,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,25,38,80.57142857142857,8,5,1.0,Local rule-based fallback,230
13,29,1,1,1,1,1,1,1,1,39,3,1,1,1,1,1,0,1,0,1,1,1,1,10,0,1.0,0,19,39,91.0,8,5,1.0,Qwen teacher distillation,391
6,14,1,1,1,1,1,1,1,1,39,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,25,39,80.57142857142857,8,5,1.0,Local rule-based fallback,230
14,16,1,1,1,1,1,1,1,1,40,4,1,1,1,1,1,1,1,1,1,1,1,1,12,0,1.0,0,17,40,92.54285714285714,8,5,1.0,Qwen teacher distillation,334
6,15,1,1,1,1,1,1,1,1,40,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,25,40,80.68571428571428,8,5,1.0,Local rule-based fallback,234
13,30,1,1,1,1,1,1,1,1,41,5,1,1,1,1,1,1,1,1,0,1,1,1,11,0,1.0,0,17,41,95.0,8,5,1.0,Qwen teacher distillation,456
6,13,1,1,1,1,1,1,1,1,41,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,23,41,80.25714285714285,8,5,1.0,Local rule-based fallback,219
14,18,1,1,1,1,1,1,1,1,42,5,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,0,12,42,93.77142857142857,8,5,1.0,Qwen teacher distillation,307
6,15,1,1,1,1,1,1,1,1,42,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,27,42,80.85714285714286,8,5,1.0,Local rule-based fallback,240
13,28,1,1,1,1,1,1,1,1,43,4,1,1,1,1,1,1,1,0,0,1,1,1,10,0,1.0,0,18,43,93.0,8,5,1.0,Qwen teacher distillation,408
6,15,1,1,1,1,1,1,1,1,43,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,24,43,80.6,8,5,1.0,Local rule-based fallback,231
11,33,1,1,1,1,1,1,1,1,44,3,1,1,1,1,1,1,1,1,0,1,1,1,11,0,1.0,0,21,44,89.33333333333333,8,5,1.0,Qwen teacher distillation,407
6,14,1,1,1,1,1,1,1,1,44,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,25,44,80.68571428571428,8,5,1.0,Local rule-based fallback,234
16,27,1,1,1,1,1,1,1,1,45,2,1,1,0,1,1,1,1,1,0,1,1,1,10,0,1.0,0,12,45,89.0,8,5,1.0,Qwen teacher distillation,358
6,15,1,1,1,1,1,1,1,1,45,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,24,45,80.6,8,5,1.0,Local rule-based fallback,231
14,30,1,1,1,1,1,1,1,1,46,5,1,1,1,1,1,1,1,1,0,1,1,1,11,0,1.0,0,19,46,95.0,8,5,1.0,Qwen teacher distillation,474
6,13,1,1,1,1,1,1,1,1,46,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,24,46,80.42857142857143,8,5,1.0,Local rule-based fallback,225
18,24,1,1,1,1,1,1,1,1,47,3,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,0,13,47,91.0,8,5,1.0,Qwen teacher distillation,368
6,15,1,1,1,1,1,1,1,1,47,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,26,47,80.71428571428571,8,5,1.0,Local rule-based fallback,235
15,28,1,1,1,1,1,1,1,1,48,4,1,1,1,1,1,0,1,0,0,1,1,1,9,0,1.0,0,19,48,91.5,8,5,1.0,Qwen teacher distillation,387
6,14,1,1,1,1,1,1,1,1,48,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,25,48,80.48571428571428,8,5,1.0,Local rule-based fallback,227
13,26,1,1,1,1,1,1,1,1,49,6,1,1,1,1,1,1,1,1,1,1,1,1,12,0,1.0,0,19,49,95.0,8,5,1.0,Qwen teacher distillation,461
6,15,1,1,1,1,1,1,1,1,49,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,26,49,80.71428571428571,8,5,1.0,Local rule-based fallback,235
15,28,1,1,1,1,1,1,1,1,50,4,1,1,1,1,1,1,1,0,0,1,1,1,10,0,1.0,0,13,50,93.0,8,5,1.0,Qwen teacher distillation,380
6,15,1,1,1,1,1,1,1,1,50,2,1,1,1,1,1,1,1,0,1,1,1,1,11,0,1.0,1,24,50,80.62857142857143,8,5,1.0,Local rule-based fallback,232
13,27,1,1,1,1,1,1,1,1,51,5,1,1,1,1,1,1,1,0,0,1,1,1,10,0,1.0,0,15,51,95.0,8,5,1.0,Qwen teacher distillation,435
